SaleID,CustomerID,ProductID,StoreID,SaleDate,Quantity
4aa9f262-004b-46d3-b3e9-ef94a2ac1f04,27d74ea0-92a9-49f5-a91c-1cd88a99b7e2,174bad91-c334-4d05-bff3-f82f0f6ef8ef,ee88ef8a-2ea5-452a-98a8-5cd25f68f2e6,2024-03-31,1
9255b507-0f26-4916-9154-2fc427e2d64b,33bb01af-92ce-4ee0-9bd5-6fa330f49b52,ebff7820-c6d5-4e73-a2f5-7f5a300e2ad2,6854cef0-0f41-4b3f-873f-052c2a6565f3,2021-02-14,4
338c72f0-8c75-4cc9-b290-8e677b3db015,a54c88a9-eb7b-445e-bc1c-298227724bee,e884f40c-de9f-4b00-ab86-150e4ae10f7b,1fdeca2a-74ac-4f2c-b6d8-b6ac8d1b14e8,2023-12-31,3
c2000b70-ae0d-4008-a8b7-9c1b887ca729,60164738-5d0b-42d3-9ff6-fcd1a878e038,94eb4831-ae66-43ea-a88a-f13993c9363a,6854cef0-0f41-4b3f-873f-052c2a6565f3,2022-09-14,5
12432a0b-37f0-4b1d-8799-0788fbf45120,1f9beabe-04c2-4350-8e97-b0884364b8f0,ef8e16de-a936-4279-a68c-bbadeeff268f,2a72079f-8c4e-4f6c-bfbc-acb79797f592,2021-05-26,3
01b7267f-af3e-4fea-8270-fc5bee71d0a0,c386a3f9-de3d-4562-b8f3-a753436139da,29751070-d1df-4f4d-98b3-4ff9b05e1129,4f60f0f5-d570-4d3b-a77a-366873748399,2020-09-28,4
674016ce-cdba-4dcd-9f58-646c71820a09,3c7f5532-1b08-437e-a364-4be93be57f53,4c7c4f22-e8c3-4bb5-8356-c84c222be86a,f0cf6502-31e2-491a-903f-31649899760c,2021-12-05,2
9fbc4169-ce5d-428f-9404-c05db1539334,5db62cfc-624f-404c-b7bc-9b45cae4c661,ddfc384f-97f1-4f93-8738-38dfafae5f3d,fecd9654-364d-4c1b-a186-bc497ed181a1,2022-11-10,5
ed6cece6-43f9-4d7d-884c-9fcd63ea6236,48acbfe8-5a93-42a9-8cea-a6031050b4b8,adc5250c-b518-47ac-b6f1-d626349bb869,6a84ac58-8ef6-4486-afb8-84a2214e439e,2021-08-03,4
0af3a753-636f-4d6f-953b-d7fe6a9f4366,b82b8df2-5c56-4e35-a9d9-580e64498e32,ecc73081-55a9-41cb-beb3-a1e9fe70bf1a,5101dc6d-6b3d-4c3e-8c38-80810de7252f,2024-05-16,1
0f8a42b4-0b59-4b82-bd15-48f04891a51a,03c38b4b-c895-484c-b9a8-7fd2690f20b3,5096e036-a887-44da-b55f-1f14ddc0df50,f0cf6502-31e2-491a-903f-31649899760c,2021-06-12,3
20dcec51-71fe-491a-8639-c5a9f6bea609,39532d82-06f0-44f1-b729-247db1f780c5,9d18e00e-b006-4df8-93ba-59dbe894f6d7,e1c03aab-9532-4cf0-8fdd-6a332dee6222,2021-09-05,4
586583bf-83bd-464e-b0c3-e421e4309dec,64190228-ca32-4f1c-9dc0-e19f7676123f,a26c78a3-1f87-427d-b46a-be927a69fd13,bef2d91c-c5be-4521-96f2-a00a75482d27,2023-06-02,5
045e9700-18f0-467a-83a7-d704218eefcb,e551c9a8-ef28-4f18-b8b5-f058f7c8e4f5,e69fe9aa-88fb-447e-8cc6-7c27deb5770e,bef2d91c-c5be-4521-96f2-a00a75482d27,2020-04-28,4
4658f0c4-23ec-42c7-ab1f-0157db84cc54,33bb01af-92ce-4ee0-9bd5-6fa330f49b52,cf4288b7-d51e-4260-a7ed-aec8bdaac2f5,4f60f0f5-d570-4d3b-a77a-366873748399,2020-10-01,1
