ProductID,ProductName,Category,Price
950b6fd2-aae3-41a9-8499-06b3f200ab11,particularly,Sports & Outdoors,405.95
efbb26b7-f385-4def-9e27-d599f2c5aca9,buy,Health & Beauty,403.91
761d35c4-99a5-4bdc-b5a9-862354601e43,begin,Clothing,315.81
8c5120cd-3f7d-408f-81d7-014eab784155,consider,Health & Beauty,63.41
e8b49233-6478-42d8-a2ec-01356e96be6f,ok,Sports & Outdoors,238.77
26554f94-c475-4b03-a481-8b35663fbbbf,happen,Clothing,443.82
68758c59-2a23-45eb-b557-26481e5e2c4e,along,Sports & Outdoors,73.78
c7c35dae-37f3-4732-bc64-c2dc6f355a7a,respond,Electronics,347.33
6a34a4cc-5e4d-40c9-b750-55592e7806be,similar,Health & Beauty,341.57
13b34f4b-85ee-4270-b9d3-52a4894643cf,less,Clothing,184.33
00d31ff5-3f69-457b-8062-171a38b9470d,arm,Electronics,178.44
9f7a1deb-0a4c-4b09-bd9b-7ac99e622d49,number,Sports & Outdoors,219.0
2aecdb1c-9986-450f-8aa5-699e53ae9a89,or,Health & Beauty,471.95
4c7c4f22-e8c3-4bb5-8356-c84c222be86a,mother,Electronics,103.38
c8b3cc53-171c-4c57-934e-3ee2a14522df,economy,Health & Beauty,150.99
0517e329-42ab-47b5-ba37-3a8909f05489,one,Home & Kitchen,357.06
66d8775b-abbf-45d8-9b08-273b5d59374d,management,Sports & Outdoors,482.57
977b86f3-53dc-45f5-b213-39fe75c316d7,seem,Home & Kitchen,144.42
cf4288b7-d51e-4260-a7ed-aec8bdaac2f5,share,Electronics,417.3
379a2753-fcb2-4c17-8556-5d2bc08c01b2,last,Electronics,271.2
f5f7bef9-c03f-4692-bb1f-0d8674165c85,billion,Clothing,309.54
4c6d7e42-72d8-4b63-afee-68772755477b,record,Home & Kitchen,100.33
55c058a9-fd50-4c06-817b-1b4f09ffd7bf,president,Electronics,136.6
04c3b0ed-873d-4508-90d8-d99de2788e75,fly,Home & Kitchen,122.04
8991bcdb-3b58-46da-8f7a-82332ae9a82b,together,Electronics,162.79
9ecd084c-bc89-45f2-adbf-bf38b54694e8,human,Electronics,96.39
c8b350d0-15ea-4c54-b73e-bc997e54abd9,interest,Home & Kitchen,282.34
afd59d36-6e09-4506-ab31-c006d10fcc1b,reduce,Home & Kitchen,188.1
89f443b6-5814-45b1-b6b3-9add69c8bf9a,important,Clothing,487.14
6997761a-3e9f-43a7-8766-439f522165a1,ability,Sports & Outdoors,379.99
1f1bb8ca-3747-4f3b-a6f4-1c7d9deaf473,test,Clothing,258.12
94eb4831-ae66-43ea-a88a-f13993c9363a,under,Sports & Outdoors,24.85
dad0dc54-443b-41c7-bc59-567738cbf3cf,role,Electronics,231.86
29751070-d1df-4f4d-98b3-4ff9b05e1129,opportunity,Sports & Outdoors,227.9
4d90c616-4718-4566-b84c-2c957f111b3e,which,Sports & Outdoors,448.45
a8e7e2b8-d67a-4620-a9ac-aa55e170ce33,huge,Electronics,100.11
48a2253a-96cf-4982-b375-fe209e864c7e,special,Electronics,214.06
784ba677-4efb-4ccc-90b4-2cd8012dad37,human,Health & Beauty,59.39
8b5eee1f-c162-4a95-87ff-e14807e9d3f0,add,Sports & Outdoors,432.1
174bad91-c334-4d05-bff3-f82f0f6ef8ef,stop,Health & Beauty,241.25
11e990b9-c052-4047-a973-685883bdaa03,sing,Health & Beauty,398.1
9c97967a-b30f-433f-93ed-550a55bb714c,human,Home & Kitchen,321.21
7bcda2bd-2171-4f2e-aaca-0b28c0d198cf,believe,Electronics,322.05
c052b474-348f-41ef-ab80-68d2cea4ce75,citizen,Health & Beauty,77.73
